"Unit ID","Create Date","Resolve Date","Client Global Sales Region","Inquiry Rep Desc","Inquiry Rep Team Desc","Inquiry Status","Inquiry Action",Product
1275735807,11/28/2023,11/28/2023,EMEA,"Saul Goodman","E TRADING",R,Handled,Book
1275756514,11/28/2023,11/29/2023,EMEA,"Saul Goodman","E TRADING",R,Handled,Book
1275733291,11/28/2023,11/28/2023,EMEA,"LANDO CALRISSIAN","E TRADING",R,Handled,SHUB
1275837509,11/29/2023,12/4/2023,EMEA,"JACK SPARROW",BUYSIDE,R,Handled,TWIFT
1275816017,11/29/2023,12/7/2023,EMEA,"LANDO CALRISSIAN","E TRADING",R,Handled,SHUB
1275816434,11/29/2023,12/6/2023,EMEA,"LANDO CALRISSIAN","E TRADING",R,Handled,CTCA
1275816596,11/29/2023,12/1/2023,EMEA,"LANDO CALRISSIAN","E TRADING",R,Handled,CTCA
1275828832,11/29/2023,12/4/2023,EMEA,"Saul Goodman","E TRADING",R,Handled,Book
1275829517,11/29/2023,12/28/2023,EMEA,"Saul Goodman","E TRADING",R,Handled,Book
1275842207,11/29/2023,11/30/2023,EMEA,"Saul Goodman","E TRADING",R,Handled,Book
1275919773,11/30/2023,11/30/2023,EMEA,"SHERLOCK HOLMES","E TRADING",R,Handled,FI
1275898326,11/30/2023,1/3/2024,EMEA,"Saul Goodman","E TRADING",R,Handled,Book
1275891386,11/30/2023,12/14/2023,EMEA,"LANDO CALRISSIAN","E TRADING",R,Handled,CTCA
1275896672,11/30/2023,11/30/2023,EMEA,"DARTH VADER",SELLSIDE,R,Handled,UOMS
1275958787,12/1/2023,12/22/2023,EMEA,"LANDO CALRISSIAN","E TRADING",R,Handled,CTCA
1275960380,12/1/2023,12/6/2023,EMEA,"LANDO CALRISSIAN","E TRADING",R,Handled,CTCA
1275993900,12/1/2023,12/1/2023,EMEA,"CHARLIE BROWN","E TRADING",R,Handled,SHUB
1275991283,12/1/2023,12/4/2023,EMEA,"LANDO CALRISSIAN","E TRADING",R,Handled,CTCA
1276058838,12/4/2023,12/6/2023,EMEA,"ELIZABETH BENNET","E TRADING",R,Handled,FMSX
1276051037,12/4/2023,12/5/2023,EMEA,"LANDO CALRISSIAN","E TRADING",R,Handled,CTCA
1276050340,12/4/2023,12/28/2023,EMEA,"Saul Goodman","E TRADING",R,Handled,Book
1276114916,12/5/2023,1/10/2024,EMEA,"JACK SPARROW",BUYSIDE,R,Handled,BIM
1276120893,12/5/2023,12/5/2023,EMEA,"LANDO CALRISSIAN","E TRADING",R,Handled,CTCA
1276122465,12/5/2023,12/5/2023,EMEA,"LANDO CALRISSIAN","E TRADING",R,Handled,CTCA
1276135881,12/5/2023,12/5/2023,EMEA,"LANDO CALRISSIAN","E TRADING",R,Handled,CTCA
1276196634,12/6/2023,12/12/2023,EMEA,"LANDO CALRISSIAN","E TRADING",R,Handled,CTCA
1276203197,12/6/2023,12/6/2023,EMEA,"Saul Goodman","E TRADING",R,Handled,FMSX
1276203805,12/6/2023,12/7/2023,EMEA,"Saul Goodman","E TRADING",R,Handled,Book
1276227545,12/6/2023,12/6/2023,EMEA,"INDIANA JONES",SELLSIDE,R,Handled,UOMS
1276264979,12/7/2023,12/7/2023,EMEA,"LANDO CALRISSIAN","E TRADING",R,Handled,CTCA
1276275503,12/7/2023,12/11/2023,EMEA,"LANDO CALRISSIAN","E TRADING",R,Handled,CTCA
1276276519,12/7/2023,12/8/2023,EMEA,"LANDO CALRISSIAN","E TRADING",R,Handled,FMSX
1276276950,12/7/2023,12/8/2023,EMEA,"LANDO CALRISSIAN","E TRADING",R,Handled,CTCA
1276288638,12/7/2023,12/8/2023,EMEA,"LANDO CALRISSIAN","E TRADING",R,Handled,CTCA
1276271950,12/7/2023,12/7/2023,EMEA,"Saul Goodman","E TRADING",R,Handled,Book
1276283620,12/7/2023,12/7/2023,EMEA,"Saul Goodman","E TRADING",R,Handled,Book
1276336897,12/8/2023,12/22/2023,EMEA,"LANDO CALRISSIAN","E TRADING",R,Handled,CTCA
1276479690,12/12/2023,12/13/2023,EMEA,"Saul Goodman","E TRADING",R,Handled,Book
1276559523,12/13/2023,12/15/2023,EMEA,"LANDO CALRISSIAN","E TRADING",R,Handled,CTCA
1276625369,12/14/2023,12/22/2023,EMEA,"LANDO CALRISSIAN","E TRADING",R,Handled,CTCA
1276617540,12/14/2023,12/15/2023,EMEA,"Saul Goodman","E TRADING",R,Handled,Book
1276619561,12/14/2023,12/14/2023,EMEA,"Saul Goodman","E TRADING",R,Handled,Book
1276629619,12/14/2023,12/18/2023,EMEA,"Saul Goodman","E TRADING",R,Handled,Book
1276643176,12/14/2023,12/20/2023,EMEA,"Saul Goodman","E TRADING",R,Handled,FMSX
1276644004,12/14/2023,12/22/2023,EMEA,"Saul Goodman","E TRADING",R,Handled,Book
1276644633,12/14/2023,12/18/2023,EMEA,"Saul Goodman","E TRADING",R,Handled,Book
1276652146,12/14/2023,12/18/2023,EMEA,"Saul Goodman","E TRADING",R,Handled,Book
1276660776,12/14/2023,12/15/2023,EMEA,"Saul Goodman","E TRADING",R,Handled,Book
1276701687,12/15/2023,12/20/2023,EMEA,"LANDO CALRISSIAN","E TRADING",R,Handled,CTCA
1276694141,12/15/2023,12/18/2023,EMEA,"Saul Goodman","E TRADING",R,Handled,Book
1276773518,12/18/2023,12/18/2023,EMEA,"Saul Goodman","E TRADING",R,Handled,Book
1276777233,12/18/2023,12/18/2023,EMEA,"Saul Goodman","E TRADING",R,Handled,Book
1276753831,12/18/2023,12/22/2023,EMEA,"LANDO CALRISSIAN","E TRADING",R,Handled,CTCA
1276830564,12/19/2023,1/4/2024,EMEA,"LANDO CALRISSIAN","E TRADING",R,Handled,CTCA
1276839000,12/19/2023,12/27/2023,EMEA,"LANDO CALRISSIAN","E TRADING",R,Handled,CTCA
1276842120,12/19/2023,12/19/2023,EMEA,"Saul Goodman","E TRADING",R,Handled,Book
1276898433,12/20/2023,12/20/2023,EMEA,"LANDO CALRISSIAN","E TRADING",R,Handled,CTCA
1276889297,12/20/2023,12/21/2023,EMEA,"Saul Goodman","E TRADING",R,Handled,Book
1276892214,12/20/2023,12/28/2023,EMEA,"Saul Goodman","E TRADING",R,Handled,Book
1276987927,12/21/2023,1/2/2024,EMEA,"LANDO CALRISSIAN","E TRADING",R,Handled,CTCA
1276955631,12/21/2023,12/21/2023,EMEA,"Saul Goodman","E TRADING",R,Handled,Book
1276988919,12/21/2023,12/22/2023,EMEA,"SHERLOCK HOLMES","E TRADING",R,Handled,Book
1277012969,12/22/2023,12/22/2023,EMEA,"Saul Goodman","E TRADING",R,Handled,EASH
1277013989,12/22/2023,12/22/2023,EMEA,"Saul Goodman","E TRADING",R,Handled,EASH
1277007365,12/22/2023,1/2/2024,EMEA,"daryl Dixon","E TRADING",R,Handled,CTCA
1277068513,12/26/2023,12/28/2023,EMEA,"Saul Goodman","E TRADING",R,Handled,Book
1277100451,12/27/2023,12/27/2023,EMEA,"LANDO CALRISSIAN","E TRADING",R,Handled,CTCA
1277105128,12/27/2023,1/4/2024,EMEA,"LANDO CALRISSIAN","E TRADING",R,Handled,CTCA
1277139799,12/28/2023,12/28/2023,EMEA,"LANDO CALRISSIAN","E TRADING",R,Handled,CTCA
1277146084,12/28/2023,12/28/2023,EMEA,"Saul Goodman","E TRADING",R,Handled,Book
1277177541,12/29/2023,1/2/2024,EMEA,"LANDO CALRISSIAN","E TRADING",R,Handled,SHUB
1277175012,12/29/2023,12/29/2023,EMEA,"Saul Goodman","E TRADING",R,Handled,Book
1277176968,12/29/2023,12/29/2023,EMEA,"Saul Goodman","E TRADING",R,Handled,Book
1257223329,1/2/2023,1/2/2023,EMEA,"CHARLIE BROWN","E TRADING",R,Handled,SHUB
1257286286,1/3/2023,1/24/2023,EMEA,"HAN SOLO",SELLSIDE,R,Handled,FUOMS
1257277636,1/3/2023,2/20/2023,EMEA,DELETE,SELLSIDE,R,Handled,UOMS
1257436948,1/5/2023,1/20/2023,EMEA,"LANDO CALRISSIAN","E TRADING",R,Handled,CTCA
1257550294,1/6/2023,2/13/2023,AMER,"Michael Scott","ETSVC_AMER_E TRADING & REGULATORY",R,Handled,CTCA
1257547659,1/6/2023,1/30/2023,AMER,"Michael Scott","ETSVC_AMER_E TRADING & REGULATORY",R,Handled,CTCA
